Phase H4.0 Municipality Layer Audit

Global:
  municipality_ids in substrate: 141
  mun1990_ids represented: 0
  missing from mun1990_names: 0
  missing from post1995 mapping: 0
  name mismatch (names vs mapping): 0
  census_available: true, census_settlement_count: 6140

Per municipality (stable-sorted by municipality_id):
  10588 | Livno | mun1990: (missing/conflict) | settlements: 58 (in_graph: 57, ungraphed: 1) | control RBiH=0 RS=0 HRHB=58 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=true
  10600 | Lukavac | mun1990: (missing/conflict) | settlements: 44 (in_graph: 44, ungraphed: 0) | control RBiH=44 RS=0 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  10626 | Ljubuški | mun1990: (missing/conflict) | settlements: 35 (in_graph: 35, ungraphed: 0) | control RBiH=0 RS=0 HRHB=35 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  10634 | Maglaj | mun1990: (missing/conflict) | settlements: 40 (in_graph: 40, ungraphed: 0) | control RBiH=40 RS=0 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  10685 | Neum | mun1990: (missing/conflict) | settlements: 27 (in_graph: 27, ungraphed: 0) | control RBiH=0 RS=0 HRHB=27 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  10715 | Olovo | mun1990: (missing/conflict) | settlements: 45 (in_graph: 45, ungraphed: 0) | control RBiH=45 RS=0 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  10731 | Posušje | mun1990: (missing/conflict) | settlements: 20 (in_graph: 20, ungraphed: 0) | control RBiH=0 RS=0 HRHB=20 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  10766 | Prozor | mun1990: (missing/conflict) | settlements: 56 (in_graph: 56, ungraphed: 0) | control RBiH=0 RS=0 HRHB=56 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  10774 | Novi Travnik | mun1990: (missing/conflict) | settlements: 51 (in_graph: 50, ungraphed: 1) | control RBiH=0 RS=0 HRHB=51 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=true
  10839 | Centar Sarajevo | mun1990: (missing/conflict) | settlements: 6 (in_graph: 6, ungraphed: 0) | control RBiH=6 RS=0 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  10847 | Hadžići | mun1990: (missing/conflict) | settlements: 62 (in_graph: 62, ungraphed: 0) | control RBiH=62 RS=0 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  10863 | Ilijaš | mun1990: (missing/conflict) | settlements: 74 (in_graph: 74, ungraphed: 0) | control RBiH=0 RS=74 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  10871 | Novi Grad Sarajevo | mun1990: (missing/conflict) | settlements: 3 (in_graph: 3, ungraphed: 0) | control RBiH=3 RS=0 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
